# Time (s)
0.036166
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
158.08,156.52,156.52,156.52,156.52,284.52,284.52,1.32
# Profile Length
20035
# i,tseries,profile,index
327,-15.54499999999999993,11.02297905216842722,834
328,-14.28400000000000070,10.98677942867809598,835
329,-14.72000000000000064,10.93279827943029758,836
330,-14.16099999999999959,10.88443843241186393,837
331,-14.87100000000000044,10.83585664806193805,838
332,-16.00100000000000122,10.78770683216200865,839
333,-16.20100000000000051,10.75649979738085094,840
334,-14.02299999999999969,10.73937821324264696,841
335,-12.59600000000000009,10.72476267402328354,842
336,-10.49900000000000055,10.71655344771264495,843
337,-11.19899999999999984,10.70787353697132005,844
338,-12.42300000000000004,10.70422686885923191,845
339,-10.55400000000000027,10.71513982254861119,846
340,-9.78400000000000070,10.72809466977718529,847
341,-9.22569999999999979,10.75448569637741869,848
342,-11.46299999999999919,10.77766896402924246,849
343,-10.58699999999999974,10.81286581737482599,850
344,-11.80400000000000027,10.87496113306290368,851
345,-9.87340000000000018,10.94698385636499438,852
346,-8.94609999999999950,11.01643936478544639,853
347,-10.25300000000000011,11.07750376416848503,854
348,-9.04069999999999929,11.15250258080663315,855
349,-9.34830000000000005,11.23385824278948952,856
350,-9.52880000000000038,11.32692561834136313,857
351,-8.44630000000000081,11.41826200989538265,858
352,-8.97470000000000034,11.50606237901051365,859
353,-9.59479999999999933,11.57757843688540866,860
354,-8.17360000000000042,11.63054063024542728,861
355,-6.94369999999999976,11.68784979701694304,862
356,-8.55560000000000009,11.74193167677754168,863
357,-12.47499999999999964,11.78228512617083190,864
358,-35.33200000000000074,11.80604615156138948,865
359,-43.88199999999999790,11.44815832973582381,866
360,-43.91499999999999915,10.90966905950024035,867
361,-41.77900000000000347,10.46897371924878151,868
362,-33.43500000000000227,10.25135615798835786,868
363,-22.03500000000000014,10.32641238046475607,869
364,-20.04599999999999937,10.26149316742795037,870
365,-19.29799999999999827,10.27451107176308653,871
366,-18.41799999999999926,10.27132693123160934,872
367,-18.77100000000000080,10.37582366738937267,873
368,-14.99699999999999989,10.69787907370341351,874
369,-12.63100000000000023,10.83614891616890397,875
370,-10.41099999999999959,10.78032738684138891,876
371,-12.13199999999999967,10.79923137013095058,877
372,-8.54180000000000028,10.80485712101017270,878
373,-9.73789999999999978,10.81857314517165491,879
374,-14.91900000000000048,10.82403313481057161,880
375,-15.99300000000000033,10.82200177526149254,881
376,-12.71899999999999942,10.81113670829467210,882
377,-12.44500000000000028,10.80330236304525826,883
378,-16.33299999999999841,10.80949476078355964,884
379,-23.15299999999999869,10.77543517699129438,885
380,-16.66100000000000136,10.76221958056577144,886
381,-3.82989999999999986,10.71752751891635569,887
382,-9.37149999999999928,10.73454214028732778,888
383,-11.21499999999999986,10.75103121038075571,889
384,-13.04199999999999982,10.75930751021657450,890
385,-12.77800000000000047,10.76752577945983802,891
386,-14.01600000000000001,10.77662084905250772,892
387,-14.42600000000000016,10.76627132121557473,893
388,-15.95599999999999952,10.75274255713145521,894
389,-18.96999999999999886,10.74855548777870773,895
390,-21.64000000000000057,10.73141393645873976,896
391,-24.18199999999999861,10.70551686013445725,897
392,-25.98699999999999832,10.68577226874511332,898
393,-28.10000000000000142,10.67562318853538450,899
394,-29.02899999999999991,10.67361998800027401,900
395,-30.27899999999999991,10.68831033985235734,901
396,-26.83599999999999852,10.67303462331940622,902
397,-19.96600000000000108,10.58628209895247174,903
398,-9.85340000000000060,10.55696572362194807,904
399,-10.80000000000000071,10.57919070666895145,905
400,-9.82859999999999978,10.60481876012871894,906
401,-14.30300000000000082,10.36231455545770430,907
402,-32.59400000000000119,9.78165959103287541,909
403,-38.09799999999999898,9.68963225608565537,910
404,-46.97599999999999909,9.73230709984185083,911
405,-53.78600000000000136,9.99553345254580350,912
406,-49.25099999999999767,10.43124944451231784,913
407,-39.24600000000000222,10.73674600335740692,914
408,-39.34599999999999653,10.92671663317943498,915
409,-37.21200000000000330,11.07808766620747853,916
410,-34.54699999999999704,11.13692407503635629,917
411,-29.33200000000000074,11.18452060997469388,918
412,-27.33399999999999963,11.25091987452105258,919
413,-25.31400000000000006,11.45732510526149284,920
414,-24.33599999999999852,11.58650115693513705,921
415,-18.44500000000000028,11.70624605637580196,922
416,-16.68900000000000006,11.76225199241343411,923
417,-16.93799999999999883,11.78288374623760681,924
418,-16.94200000000000017,11.77413511785076317,925
419,-19.09900000000000020,11.79489327047291347,926
420,-19.43100000000000094,11.78895905987813997,927
